"variable","item_id","item_text","dimension","dimension_label","reverse","response_min","response_max","response_labels","scoring_rule","na_option","na_label","na_paper_value","na_scored_value","critical","critical_threshold"
"q01","1","我与他人相处融洽","IR","人际关系","1","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = 4 - raw","0","","","","0",""
"q02","2","我容易疲劳","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q03","3","我对事物没有兴趣","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q04","4","我在学习/工作上感到有压力","SR","社会角色","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q05","5","我为一些事情而自责","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q06","6","我感到烦躁","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q07","7","我在恋爱/婚姻等重要关系中感到不快乐","IR","人际关系","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","1","不适用：目前没有这类关系","0","0","0",""
"q08","8","我有结束自己生命的想法","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","1","1"
"q09","9","我感到虚弱","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q10","10","我感到害怕","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","0","","","","0",""
"q11","11","醉酒之后，第二天早晨我要再喝一点才能恢复","SD","症状困扰","0","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = raw","1","不适用：我不喝酒","0","0","1","2"
"q12","12","我对我的学习/工作感到满意","SR","社会角色","1","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = 4 - raw","0","","","","0",""
"q13","13","我感到快乐","SD","症状困扰","1","0","4","0=不是|1=很少|2=有时|3=经常|4=几乎总是","scored = 4 - raw","0","","","","0",""
